Event Code	STK_CODE	IDX_CODE	EX_DATE	 NEW_SHARES 	NXT_FREE_FLOAT	NXT_CAPPING	 ADJ_CLOSE 	INTRO	REMOVAL
PVIPVN10PRVND40879	PVI	PVN10PRVND	2011/12/02	 154,873,464 			 17,100.00 		
PVIPVNASPRVND40879	PVI	PVNASPRVND	2011/12/02	 154,873,464 			 17,100.00 		
PVIPVNHNPRVND40879	PVI	PVNHNPRVND	2011/12/02	 154,873,464 			 17,100.00 		
PVIPVNACPRVND40879	PVI	PVNACPRVND	2011/12/02	 154,873,464 			 17,100.00 		
PVIPVNFIPRVND40879	PVI	PVNFIPRVND	2011/12/02	 154,873,464 			 17,100.00 		
PVDPVN10PRVND40883	PVD	PVN10PRVND	2011/12/06	 209,567,165 			 36,300.00 		
PVDPVNASPRVND40883	PVD	PVNASPRVND	2011/12/06	 209,567,165 			 36,300.00 		
PVDPVNHSPRVND40883	PVD	PVNHSPRVND	2011/12/06	 209,567,165 			 36,300.00 		
PVDPVNACPRVND40883	PVD	PVNACPRVND	2011/12/06	 209,567,165 			 36,300.00 		
PVDPVNOGPRVND40883	PVD	PVNOGPRVND	2011/12/06	 209,567,165 			 36,300.00 		
PVIPVN10PRVND40885	PVI	PVN10PRVND	2011/12/08	 208,110,252 			 17,500.00 		
PVIPVNASPRVND40885	PVI	PVNASPRVND	2011/12/08	 208,110,252 			 17,500.00 		
PVIPVNHNPRVND40885	PVI	PVNHNPRVND	2011/12/08	 208,110,252 			 17,500.00 		
PVIPVNACPRVND40885	PVI	PVNACPRVND	2011/12/08	 208,110,252 			 17,500.00 		
PVIPVNFIPRVND40885	PVI	PVNFIPRVND	2011/12/08	 208,110,252 			 17,500.00 		
PVXPVN10PRVND40889	PVX	PVN10PRVND	2011/12/12	 262,500,000 			 8,285.71 		
PVXPVNINPRVND40889	PVX	PVNINPRVND	2011/12/12				 8,285.71 		
PVXPVNHNPRVND40889	PVX	PVNHNPRVND	2011/12/12				 8,285.71 		
PVXPVNASPRVND40889	PVX	PVNASPRVND	2011/12/12				 8,285.71 		
PVXPVNACPRVND40889	PVX	PVNACPRVND	2011/12/12				 8,285.71 		
PTLPVNASPRVND40890	PTL	PVNASPRVND	2011/12/13	 98,865,080 			 4,500.00 		
PTLPVNACPRVND40890	PTL	PVNACPRVND	2011/12/13	 98,865,080 			 4,500.00 		
PTLPVNFIPRVND40890	PTL	PVNFIPRVND	2011/12/13	 98,865,080 			 4,500.00 		
PTLPVNHSPRVND40890	PTL	PVNHSPRVND	2011/12/13	 98,865,080 			 4,500.00 		
CNGPVNASPRVND40907	CNG	PVNASPRVND	2011/12/30	 20,312,038 			 23,000.00 	1	
CNGPVNACPRVND40907	CNG	PVNACPRVND	2011/12/30	 20,312,038 			 23,000.00 	1	
CNGPVNHSPRVND40907	CNG	PVNHSPRVND	2011/12/30	 20,312,038 			 23,000.00 	1	
CNGPVNUTPRVND40907	CNG	PVNUTPRVND	2011/12/30	 20,312,038 			 23,000.00 	1	
PSBPVNASPRVND40907	PSB	PVNASPRVND	2011/12/30	 50,000,000 			 3,100.00 	1	
PSGPVNASPRVND40907	PSG	PVNASPRVND	2011/12/30	 -   			 -   		1
PSGPVNACPRVND40907	PSG	PVNACPRVND	2011/12/30	 -   			 -   		1
PSGPVNHNPRVND40907	PSG	PVNHNPRVND	2011/12/30	 -   			 -   		1
PSGPVNINPRVND40907	PSG	PVNINPRVND	2011/12/30	 -   			 -   		1
PCTPVNASPRVND40907	PCT	PVNASPRVND	2011/12/30	 -   			 -   		1
PCTPVNACPRVND40907	PCT	PVNACPRVND	2011/12/30	 -   			 -   		1
PCTPVNHNPRVND40907	PCT	PVNHNPRVND	2011/12/30	 -   			 -   		1
PCTPVNINPRVND40907	PCT	PVNINPRVND	2011/12/30	 -   			 -   		1
PVRPVNFIPRVND40907	PVR	PVNFIPRVND	2011/12/30	 52,356,713 			 8,800.00 	1	
PVRPVNINPRVND40907	PVR	PVNINPRVND	2011/12/30	 -   			 -   		1
PVTPVN10PRVND40907	PVT	PVN10PRVND	2011/12/30	 -   			 -   		1
PGSPVN10PRVND40907	PGS	PVN10PRVND	2011/12/30	 38,000,000 	50	100	 18,300.00 	1	
DPMPVN10PRVND40907	DPM	PVN10PRVND	2011/12/30	 377,644,200 	40	29.26718691	 23,400.00 		
PVDPVN10PRVND40907	PVD	PVN10PRVND	2011/12/30	 209,567,165 	50	31.04697459	 31,800.00 		
PVFPVN10PRVND40907	PVF	PVN10PRVND	2011/12/30	 600,000,000 	15	100	 7,000.00 		
PVSPVN10PRVND40907	PVS	PVN10PRVND	2011/12/30	 298,998,663 	40	60.06865657	 14,400.00 		
PVXPVN10PRVND40907	PVX	PVN10PRVND	2011/12/30	 250,000,000 	50	100	 6,500.00 		
PVEPVNASPRVND40914	PVE	PVNASPRVND	2012/01/06	 18,000,000 			 9,478.26 		
PVEPVNHNPRVND40914	PVE	PVNHNPRVND	2012/01/06	 18,000,000 			 9,478.26 		
PVEPVNACPRVND40914	PVE	PVNACPRVND	2012/01/06	 18,000,000 			 9,478.26 		
PVEPVNINPRVND40914	PVE	PVNINPRVND	2012/01/06	 18,000,000 			 9,478.26 		
PVIPVNACPRVND40955	PVI	PVNACPRVND	2012/02/16	 205,837,952 			 18,500.00 		
PVIPVNASPRVND40955	PVI	PVNASPRVND	2012/02/16	 205,837,952 			 18,500.00 		
PVIPVNFIPRVND40955	PVI	PVNFIPRVND	2012/02/16	 205,837,952 			 18,500.00 		
PVIPVNHNPRVND40955	PVI	PVNHNPRVND	2012/02/16	 205,837,952 			 18,500.00 		
PVRPVNACPRVND40967	PVR	PVNACPRVND	2012/02/28	 51,906,713 			 7,100.00 		
PVRPVNASPRVND40967	PVR	PVNASPRVND	2012/02/28	 51,906,713 			 7,100.00 		
PVRPVNFIPRVND40967	PVR	PVNFIPRVND	2012/02/28	 51,906,713 			 7,100.00 		
PVRPVNHNPRVND40967	PVR	PVNHNPRVND	2012/02/28	 51,906,713 			 7,100.00 		
CNGPVNACPRVND40983	CNG	PVNACPRVND	2012/03/15	 21,327,638 			 27,900.00 		
CNGPVNASPRVND40983	CNG	PVNASPRVND	2012/03/15	 21,327,638 			 27,900.00 		
CNGPVNHSPRVND40983	CNG	PVNHSPRVND	2012/03/15	 21,327,638 			 27,900.00 		
CNGPVNUTPRVND40983	CNG	PVNUTPRVND	2012/03/15	 21,327,638 			 27,900.00 		
